Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Єрошенко,Дарина,Романівна,female,1997-07-13,Бухгалтер,село Ужгород,"площа Глиняна, буд. 36 кв. 682, Лохвиця, 62689",067 536 33 15,oksana31@example.com
Рябовіл,Аврелій,Юрійович,male,1981-09-03,Бухгалтер,селище Ізюм,"шосе Садова, буд. 6 кв. 1, Червоноград, 87863",+380 13 481-06-98,yshapoval@example.net
Теличенко,Ярослава,Давидівна,female,1991-05-11,Менеджер з продукту,хутір Немирів,"вулиця Головна, буд. 00, Сторожинець, 13777",078 541-29-11,kamillashynkarenko@example.com
Вернидуб,Златослава,Василівна,female,2003-08-13,Тестувальник,хутір Харків,"узвіз Декабристів, буд. 0 кв. 7, Зоринськ, 69563",+380 68 962-99-64,kyrylonosenko@example.org
Чабан,Святослав,Олегович,male,1958-05-11,Архітектор,село Бориспіль,"набережна Сергія Уточкіна, буд. 01 кв. 202, Олександрія, 47774",026 004 40 55,klymenthupalo@example.com
Прокопович,Ганна,Леонідівна,female,2002-02-10,Бухгалтер,хутір Бровари,"площа Лїнія 1-ша, буд. 4, Ржищів, 77740",011-19-37,iemetsanzhela@example.net
Бевз,Маруся,Олегівна,female,1993-10-08,Інженер з якості,селище Великі Мости,"узвіз Михайла Грушевського, буд. 997, Корсунь-Шевченківський, 87019",029 975-40-60,vakhniitereza@example.com
Усик,Андрій,Давидович,male,1964-10-12,Фінансовий аналітик,місто Красноперекопськ,"сквер Листяна, буд. 3, Лозова , 30936",+380 23 893-45-23,kartymovych@example.net
Рябошапка,Олександр,Павлович,male,2005-03-31,Бухгалтер,місто Ківерці,"вулиця Хутірський, буд. 68, Новоселиця, 53890",+380 (75) 055-42-74,ohavryshkevych@example.com
Устенко,Златослава,Остапівна,female,2002-03-05,Бухгалтер,селище Білогірськ,"вулиця Вузький, буд. 3 кв. 294, Канів, 87396",+380 32 030-70-79,nataliia17@example.net
Усик,Ярема,Борисович,male,1951-01-18,Менеджер з продажу,село Іловайськ,"шосе Лесі Українки, буд. 774, Іллінці, 25117",035 225-00-58,pavlobabii@example.net
Бакуменко,Гліб,Зеновійович,male,2003-02-10,Менеджер з продукту,місто Ровеньки,"узвіз Крижанівський, буд. 68 кв. 037, Новий Калинів, 16824",041 133 85 13,stanislav63@example.com
Гайденко,Варфоломій,Ярославович,male,1969-04-12,Офіс-менеджер,селище Чоп,"набережна Технічний, буд. 761, Городенка, 81779",+380 00 256 28 76,vyshniakiaroslav@example.com
Артим,Павло,Мар'янович,male,1952-09-01,Менеджер з маркетингу,хутір Новомосковськ,"проспект Спартаківський, буд. 6, Часів Яр, 27330",+380 (84) 378-09-65,qmykytiuk@example.net
Хмара,Вадим,Максимович,male,1962-06-11,Аналітик даних,місто Макіївка,"набережна Композитора Глинки, буд. 2, Броди, 31331",061 018-44-53,khudiaknestor@example.org
Конопля,Остап,Тарасович,male,1953-11-27,Тестувальник,селище Луганськ,"парк Бузкова, буд. 9, Кобеляки, 02449",117-92-74,teslenkoheorhii@example.org
Чуприна,Болеслав,Євгенович,male,1958-05-28,Асистент керівника,селище Докучаєвськ,"вулиця Наявний 4-й, буд. 563 кв. 95, Сватове, 15719",419 77 59,andrii31@example.com
Сиротенко,Яків,Мар'янович,male,1985-02-26,Фінансовий аналітик,місто Харків,"узвіз Тульська, буд. 77, Заводське, 91081",+380 (91) 758-70-52,adam67@example.com
Орлик,Опанас,Мар'янович,male,2000-12-11,Фінансовий аналітик,село Чоп,"площа Закарпатська, буд. 073, Залізне, 43116",+380 39 296 59 92,avhustyn08@example.com
Чумаченко,Едуард,Євгенович,male,1942-03-30,Аудитор,місто Підгайці,"набережна Дунаєвського, буд. 22, Іллінці, 36881",096 837-67-64,zatovkaniukvasyl@example.net
Цюпа,Соломон,Іванович,male,2008-08-04,Бухгалтер,хутір Острог,"сквер Верф’яний, буд. 3 кв. 35, Моспине, 64690",259 21 95,oleksatryhub@example.com
Онуфрієнко,Варфоломій,Остапович,male,1992-09-27,Менеджер з продажу,місто Вугледар,"площа Варненська, буд. 7 кв. 72, Суми, 45396",249-22-62,iustym75@example.org
Чумаченко,Варвара,Іванівна,female,1986-10-13,Асистент керівника,село Арциз,"узвіз Зелена, буд. 2 кв. 656, Луганськ, 03020",724 91 17,lukiankhorishko@example.org
Гузій,Остап,Данилович,male,1960-03-18,Аналітик даних,село Кремінна,"узвіз Львівський, буд. 5, Радехів, 74544",272-05-50,iarynadakhno@example.net
Комар,Гаврило,Назарович,male,1997-01-03,Системний адміністратор,хутір Світлодарськ,"набережна Гетьманський, буд. 862 кв. 5, Білгород-Дністровський, 68508",760-49-19,vashchuklevko@example.com
Ґерус,Богуслава,Денисівна,female,1943-08-15,Фінансовий аналітик,хутір Тиврів,"парк Каманіна, буд. 970 кв. 0, Зоринськ, 45436",+380 (21) 932-30-63,arsen73@example.org
Андрієвич,Пантелеймон,Станіславович,male,1991-08-20,Фінансовий аналітик,село Корець,"проспект Професора Коровицького, буд. 928 кв. 7, Дубляни, 67325",038 185-37-63,irenatkach@example.com
Бакуменко,Олег,Давидович,male,1959-01-25,Програміст,селище Новий Буг,"узвіз Лютневий 2-й, буд. 433, Українськ, 27520",+380 97 970 61 22,dieromenko@example.com
Опанасенко,Кирило,Євгенович,male,1958-03-05,Асистент керівника,село Немирів,"сквер Східний 2-й, буд. 21, Олександрія, 83634",+380 23 647-68-01,shamraierika@example.com
Онуфрієнко,Макар,Костянтинович,male,1944-09-25,Асистент керівника,хутір Чорнобиль,"вулиця Світанку, буд. 0, Сарни, 71522",+380 80 118-36-05,valenkozynovii@example.com
Щербань,Клавдія,Юріївна,female,1982-06-09,Менеджер з закупівель,селище Гайсин,"набережна Савранська, буд. 942 кв. 9, Вільнянськ, 78656",090 383-67-83,hennadiibebeshko@example.net
Артимович,Софія,Романівна,female,1978-12-23,Тестувальник,місто Тячів,"площа Рішельєвська, буд. 7 кв. 368, Татарбунари, 09480",+380 20 222 93 58,snizhanamiroshnychenko@example.com
Удовенко,Оксана,Ігорівна,female,1974-04-03,Програміст,місто Баштанка,"парк Хімічна, буд. 04, Первомайськ, 34892",904 09 15,hordii39@example.org
Корпанюк,Марʼяна,Тимофіївна,female,1997-04-26,Офіс-менеджер,місто Івано-Франківськ,"парк Академіка Панкратової, буд. 58 кв. 566, Угнів, 04281",030 665 71 71,petrykmariia@example.com
Полтавець,Владислав,Євгенович,male,1939-01-14,Менеджер з закупівель,місто Ясинувата,"набережна Колонічна, буд. 06 кв. 6, Хорол , 69557",535 07 84,dmytrotymchenko@example.org
Авдєєнко,Марʼяна,Іванівна,female,2008-08-10,Копірайтер,місто Баранівка,"проспект Ямська, буд. 029, Новоазовськ, 27954",042 298 83 20,hzakusylo@example.net
Щириця,Ілля,Андрійович,male,1949-10-20,Офіс-менеджер,селище Житомир,"проспект Зоряна, буд. 03, Олександрія, 99682",+380 39 155-37-94,nbaklan@example.com
Калениченко,Галина,Олегівна,female,2005-11-20,Аудитор,селище Добропілля,"проспект Цимлянська, буд. 611 кв. 59, Конотоп, 83706",+380 09 006-39-35,huzlevko@example.net
Ящук,Антон,Борисович,male,1999-05-30,Програміст,селище Українка ,"проспект Восьмого березня 1-й, буд. 88, Радивилів, 10456",059-67-75,elaba@example.net
Цюпа,Соломія,Ярославівна,female,1984-05-12,Системний адміністратор,селище Зоринськ,"вулиця Чернігівська, буд. 8, Корсунь-Шевченківський, 96394",446-65-64,plavrenko@example.com
Редько,Соломія,Мар'янівна,female,1966-06-12,Дизайнер,хутір Тернівка ,"вулиця Льва Симиренка, буд. 526, Старокостянтинів, 93760",794 24 19,arsen55@example.com
Рябченко,Клавдія,Ярославівна,female,1939-11-20,PR-менеджер,хутір Роздільна,"узвіз Академіка Корольова, буд. 6, Новояворівськ, 60234",466 37 66,arsen84@example.com
Дейсун,Богодар,Ігорович,male,1970-03-20,Бухгалтер,місто Горішні Плавні,"проспект Левітана, буд. 65 кв. 097, Мена , 26136",+380 11 319-94-32,klavdiiatereshchenko@example.com
Вернидуб,Герман,Марківич,male,1978-07-11,Менеджер з маркетингу,село Яворів,"узвіз Український 2-й, буд. 715, Ківерці, 68058",+380 29 094 55 74,iukhymkabanenko@example.org
Гайворонський,Анжела,Данилівна,female,1953-07-26,Менеджер з продажу,хутір Красногорівка,"шосе Олександра Блока, буд. 98, Первомайський , 01938",087 464 50 85,svitlana41@example.com
Михалюк,Феофан,Тарасович,male,1973-10-31,Архітектор,село Зборів,"сквер Дунаєва, буд. 73, Лохвиця, 98539",+380 66 259-58-54,odarkagzhytskyi@example.net
Ляшко,Марія,Федорівна,female,1956-04-30,PR-менеджер,місто Полтава,"узвіз Новомосковська дорога, буд. 776 кв. 5, Рава-Руська, 81945",031-21-77,hsymonenko@example.net
Іщак,Еріка,Василівна,female,1977-01-19,Аудитор,селище Рава-Руська,"парк Мічманський 2-й, буд. 38, Івано-Франківськ, 60080",035 091-28-42,arudyk@example.net
Адамчук,Ада,Олегівна,female,1988-01-18,Інженер з якості,село Боково-Хрустальне,"проспект Іванова, буд. 984, Новодністровськ, 44639",+380 50 285-94-05,iaroslavmykhaliuk@example.com
Сіробаба,Аркадій,Давидович,male,1974-10-03,Офіс-менеджер,місто Кіцмань,"площа Лінія 38-ма, буд. 92, Березівка, 96702",072 667 02 96,viraskopenko@example.org
Данилюк,Віктор,Мар'янович,male,1945-01-02,Менеджер з закупівель,хутір Вугледар,"сквер Академіка Глушка, буд. 15, Хмільник, 96376",+380 23 648-05-82,pylypnikoliuk@example.net
Щириця,Алевтин,Данилович,male,1977-05-25,Кадровий менеджер,хутір Вільногірськ,"узвіз Пересипська 7-ма, буд. 533, Старий Самбір, 96009",725 54 56,jasaula@example.net
Дейсун,Валентин,Денисович,male,1974-11-28,Програміст,місто Харцизьк,"узвіз Мусіна, буд. 628, Моспине, 28974",+380 09 401-46-73,vlasiukarsen@example.org
Гавриш,Ярема,Кирилович,male,1943-08-18,Програміст,село Вовчанськ,"сквер Ковалевського узвіз, буд. 603, Гуляйполе, 52429",+380 70 333-27-50,adam13@example.org
Палій,Лесь,Ярославович,male,1952-08-17,Аудитор,хутір Немирів,"сквер Асташкіна, буд. 774, Болехів, 34983",014 581-38-44,iukhym07@example.org
Дараган,Франц,Петрович,male,2000-09-25,Кадровий менеджер,хутір Скалат,"узвіз Севастопольський, буд. 91, Мелітополь, 18850",073 255-92-66,tetianaartemenko@example.org
Макаренко,Болеслав,Володимирович,male,1988-06-01,Тестувальник,місто Макіївка,"парк Іванова 2-й, буд. 8, Баранівка, 63195",+380 98 122 40 46,tymofii05@example.net
Якимчук,Єлисей,Назарович,male,1958-10-29,HR-менеджер,селище Докучаєвськ,"узвіз Декабристів, буд. 262, Бахмач, 83257",063 670 67 83,pavlo46@example.net
Бабенко,Климент,Захарович,male,2000-06-18,Системний адміністратор,хутір Ровеньки,"проспект Абрикосовий, буд. 002, Березне, 10128",074 488 05 81,noliinyk@example.org
Дерегус,Світлана,Остапівна,female,1956-01-23,Архітектор,селище Заліщики,"площа Осіння, буд. 5 кв. 6, Стебник, 77271",118-66-06,pshchors@example.net
Фесенко,Роман,Сергійович,male,1940-06-29,PR-менеджер,місто Хрестівка,"провулок Соціальна, буд. 6, Лубни, 29853",+380 (01) 618-08-23,naleksandrenko@example.net
Акименко,Владислав,Іванович,male,1954-02-28,Менеджер з продажу,село Мостиська,"парк Ямчитського, буд. 08, Добропілля, 52129",+380 (55) 295-12-51,emazepa@example.org
Лавренко,Тарас,Тимофійович,male,1973-04-01,Тестувальник,хутір Галич,"набережна Бодаревського, буд. 563 кв. 35, Вилкове, 23975",499 55 72,opanas22@example.org
Жарко,Вікторія,Ярославівна,female,1999-10-03,Дизайнер,село Пологи ,"сквер Мала, буд. 925 кв. 0, Українськ, 83092",+380 66 632-55-23,haidaburafeofan@example.com
Дейнеко,Максим,Павлович,male,1969-11-20,Копірайтер,село Зеленодольськ,"сквер Молодогвардійська, буд. 82, Деражня, 54210",+380 06 346-93-94,levko34@example.com
Заїка,Франц,Григорійович,male,1992-07-12,Фінансовий аналітик,селище Заставна,"вулиця Академічна, буд. 8, Гадяч, 85906",048 677-95-58,illia62@example.org
Петрик,Пантелеймон,Марківич,male,1968-10-20,PR-менеджер,хутір Новий Буг,"вулиця Авдєєва-Чорноморського, буд. 250 кв. 98, Рожище, 02164",+380 54 569 76 84,stepanmykhaliuk@example.net
Бабʼюк,Макар,Романович,male,1939-09-17,Аудитор,місто Ровеньки,"узвіз Тепла, буд. 73 кв. 73, Кодима, 52007",428-86-34,zakusylotereza@example.net
Годунок,Валентин,Ярославович,male,1948-09-14,Системний адміністратор,хутір Мирноград,"узвіз Білоруська, буд. 242 кв. 119, Городенка, 67761",+380 (51) 949-96-23,mishchak@example.com
Наливайко,Орися,Олександрівна,female,1950-11-18,Офіс-менеджер,село Енергодар,"вулиця Трамвайна, буд. 40 кв. 1, Світловодськ, 13631",+380 (07) 987-70-34,lessyrotenko@example.org
Кириленко,Борислав,Захарович,male,1968-01-16,Кадровий менеджер,хутір Славута,"шосе Шухевича Романа, буд. 00 кв. 7, Новгород-Сіверський, 88549",+380 15 169-59-13,lizagereta@example.net
Базавлученко,Леонід,Станіславович,male,1954-08-20,Кадровий менеджер,місто Болград,"парк Шишкіна 3-й, буд. 60 кв. 480, Чорноморськ, 71952",019 61 20,klavdiia15@example.org
Данилюк,Марко,Михайлович,male,1945-04-26,Інженер з якості,місто Чернігів,"проспект Сергія Ядова, буд. 8 кв. 603, Чигирин, 87887",052 325-04-21,ksalii@example.com
Засуха,Євген,Васильович,male,1957-01-18,Дизайнер,місто Новомосковськ,"провулок Чернишевського, буд. 473, Підгородне, 32391",+380 (74) 875-37-96,shvachkaboleslav@example.com
Оберемко,Еріка,Михайлівна,female,1979-08-23,PR-менеджер,місто Білопілля,"узвіз Академіка Філатова, буд. 23 кв. 62, Київ, 12981",454-88-17,bderiazhnyi@example.com
Ванченко,Тарас,Тимофійович,male,1940-09-03,Менеджер з закупівель,селище Волноваха,"шосе Толбухіна, буд. 3, Зміїв, 06718",010 453 89 47,solomononufriienko@example.net
Бабійчук,Марія,Євгенівна,female,1960-05-15,Менеджер з маркетингу,хутір Київ,"шосе Виноградна 3-тя, буд. 36, Вознесенівка, 24110",396 78 47,spas99@example.org
Бевз,Олекса,Геннадійович,male,1975-12-03,Архітектор,хутір Косів,"набережна Тінистий, буд. 9 кв. 73, Радивилів, 03693",720 60 78,ghohol@example.com
Онуфрієнко,Володимир,Станіславович,male,2007-06-18,HR-менеджер,селище Алчевськ,"узвіз Кавказька, буд. 30 кв. 564, Стебник, 99028",987 83 85,hennadiiavramchuk@example.net
Бабко,Ольга,Мар'янівна,female,1956-09-12,Кадровий менеджер,селище Красногорівка,"провулок Ямська, буд. 021, Узин, 10439",070 655-25-63,pavlomykhailiuk@example.com
Шамрай,Наталія,Іванівна,female,2006-12-15,Менеджер з маркетингу,селище Слов'янськ,"сквер Байкальська, буд. 698, Феодосія, 67995",+380 33 915 07 70,levkovivcharenko@example.com
Данильчук,Дарина,Мар'янівна,female,1944-02-17,Інженер з якості,селище Славутич,"сквер Санаторний, буд. 552 кв. 1, Харцизьк, 53365",031 546 28 18,verhunalevtyn@example.net
